ABBE,Katholischer Geistlicher
KIRA,Weiblicher Vorname
KISS,Kuss englisch
KIST,Truhenartig
KITT,Dichtungsmaterial
KLAN,Sippe englisch
KLAR,Deutlich
KLAU,Form von klauen
KLEB,Hefte fest
KLEE,Dreiblaettrige Wiesenpflanze
KLEI,Tonboden
KLEK,Form von klecksen
KLON,Genetische Kopie
KLUB,Verein
KLUG,Intelligent
KNAP,Gerade eben
KNIE,Beingelenk
KNIP,Form von knipsen
KOCH,Kuechenfachmann
KODE,Geheimzeichen
KOHL,Gemueseart
KOJE,Schlafplatz auf Schiff
KOMA,Bewusstlosigkeit
KOMM,Imperativ kommen
KOPF,Koerperteil mit Gehirn
KORB,Geflochtener Behaelter
KORD,Gerippter Stoff
KORK,Flaschenverschlussmaterial
KORN,Getreidefrucht
KOST,Nahrung
KOTZ,Form von kotzen
KRAB,Form Krabbe
KRAM,Zeug
KRAN,Hebegeraet
KRIM,Halbinsel
KRUG,Bauchiges Gefaess
KRUM,Gebogen Kurzform
KUEH,Rinder
KUGA,Seuche
KULT,Anbetungsfigur
KURS,Lehrgang
KURZ,Nicht lang
KUSS,Mundberuehrung zwischen Personen
LACH,Freudenausdruck
LACK,Farbschicht
LADE,Schublade
LADY,Dame englisch
LAGE,Position Situation
LAHM,Schwach
LAIB,Brotform
LAIE,Unerfahrener Mensch
LAKE,Salzwasserloesung
LAMA,Andentier
LAME,Lendenstueck
LAMM,Junges Schaf
LAND,Gebiet
LANE,Fahrspur englisch
LANG,Nicht kurz
LARM,Larm Getoese
LAST,Schwere Buerde
LATZ,Brustschuerze
LAUB,Gesamtheit der Blaetter
LAUF,Bewegung rennend
LAUT,Geraeusch
LAVA,Vulkangestein fluessig
LEBE,Sei lebendig
LEBT,Ist am Leben
LECK,Undichte Stelle
LEER,Nicht gefuellt
LEGO,Beliebtes Kinderspielzeug
LEGT,Platziert
LEHM,Erdmaterial
LEHN,Stuetze
LEIB,Koerper
LEID,Schmerz
LEIH,Form von leihen
LEIM,Klebstoff
LEIN,Flachsfaser
LENK,Form von lenken
LENZ,Fruehling
LESE,Weinernte
LICH,Leiche
LIEB,Zaertlich
LIED,Musikstueck
LIEF,Rannte
LILA,Violett
LILO,Luftmatratze
LIMO,Sueses Getraenk
LINK,Kurze Verbindung
LIST,Kniff oder Schlauheit
LIVE,Direkt
LOCH,Runde Oeffnung
LOFT,Grosser Raum Wohnung
LOGE,Kasten im Theater
LOGO,Firmenzeichen
LOHN,Arbeitsentgelt
LOOK,Aussehen englisch
LORD,Englischer Adelstitel
LORE,Kleiner Transportwagen
LOSE,Einzelne Scheine
LOTS,Viele englisch
LOWE,Loewe
LUFT,Gasgemisch zum Atmen
LUGE,Taeuschung
LUKE,Fenster im Dach
LUPE,Vergroesserungsglas
LUST,Verlangen
MACH,Tue
MAGE,Knapp kurz
MAHL,Essen
MAHR,Alptraumgestalt
MAIS,Goldgelbes Getreide
MAMA,Mutter
MAMI,Mutter kindlich
MANI,Besessenheit
MANN,Erwachsener Kerl
MARK,Waehrung alt
MARS,Roter Planet
MAST,Aufrechter Pfahl
MATT,Glanzlos
MAUL,Schnauze
MAUS,Kleines graues Nagetier
MEER,Grosses Salzwasser
MEET,Treffen englisch
MEHL,Gemahlenes Korn
MEHR,In hoeherer Anzahl
MEIN,Mein Eigentum
MILD,Sanft
MILZ,Organ links oben
MINE,Untertagebau
MINI,Klein
MIST,Dung
MOCH,Form von moegen
MODE,Aktueller Stil
MOHN,Rote Wiesenblume
MOHR,Dunkelhaeutiger Mensch
MOLE,Hafenvorsprung
MOLL,Musikalische Tonart
MOND,Trabant der Erde
MOOR,Sumpfige Landschaft
MOOS,Weicher Bodenbelag im Wald
MOPS,Kleiner flachnasiger Hund
MORD,Toetung
MOST,Obstsaft
MOTE,Staubteilchen
MUCK,Muff
MUFF,Handwaermer
MUND,Essoeffnung im Gesicht
MUSE,Inspirationsgottheit
MUSS,Notwendigkeit
MUST,Muss englisch
NABE,Radzentrum
NACH,In Richtung zu
NADA,Nichts spanisch
NAGE,Form von nagen
NAGT,Kaut
NAHE,In der Umgebung
NAHM,Form von nehmen
NAHT,Stoffverbindung
NAIV,Arglos
NAME,Eigenbezeichnung
NARR,Spassvogel
NASE,Riechorgan
NASS,Voller Wasser
NATO,Verteidigungsbuendnis
NEBE,Dunst
NEED,Brauchen englisch
NEID,Missgunst
NEIG,Form von neigen
NEIN,Negative Antwort
NERV,Leitungsstrang im Koerper
NEST,Vogelbett
NETT,Freundlich
NETZ,Geflechtwerk
NEUE,Frische Dinge
NEUN,Zahl nach acht
NICE,Nett englisch
NIKE,Goettin des Sieges
NILE,Nil englisch
NIMB,Heiligenschein
NIMM,Imperativ nehmen
NINA,Weiblicher Vorname
NIPP,Kleiner Schluck
NIXE,Wasserfrau
NOAH,Biblische Figur
NOCH,Zusaetzlich
NOEL,Weihnachten franzoesisch
NONE,Neunte
NOOB,Anfaenger Gamer
NORD,Himmelsrichtung oben
NORM,Regel Standard
NOTE,Schulbewertung
NOUN,Substantiv englisch
NULL,Keine Menge
NUSS,Hartschaliges Obst
OASE,Wasserstelle in der Wueste
OBEN,Oben am Ort
OBST,Fruchtgenuss
OCHS,Kastrierter Stier
OCKE,Rock
ODER,Alternative
OECH,Kurz oekologisch
OELE,Fettige Fluessigkeiten
OFEN,Heizgeraet
OHNE,Nicht dabei
OKAY,In Ordnung
OLAF,Maennlicher Vorname
OLGA,Weiblicher Vorname
OMEN,Vorzeichen
ONTO,Auf englisch
ONYX,Schwarzer Schmuckstein
OOPS,Ausruf Missgeschick
OPAK,Nicht durchsichtig
OPAL,Edelstein
OPEN,Offen englisch
OPER,Musiktheaterstueck
ORAL,Muendlich
ORKA,Schwertwal
ORTE,Mehrere Plaetze
OSLO,Hauptstadt Norwegens
OTTO,Maennlicher Vorname
OUCH,Auaruf Schmerz
OVAL,Eifoermig
OZON,Atemreizendes Gas
PAAR,Zwei zusammen
PACE,Tempo englisch
PACK,Gepaeckstueck
PAGE,Buchseite oder Edelknabe
PAIR,Paar englisch
PAKT,Vertrag
PAPA,Vater
PARA,Nebenprefix
PARK,Erholungsflaeche
PART,Anteil
PASS,Ausweisdokument
PAST,Vergangenheit englisch
PATE,Taufbegleiter
PECH,Missgeschick
PEIN,Qual
PELZ,Tierfell
PENG,Knalllaut
PEST,Gefaehrliche Seuche
PFAD,Schmaler Weg
PFAU,Schillernder Vogel
PICK,Auswahl englisch
PIEF,Spitzer Laut
PIEK,Kleiner Stich
PIEP,Laut eines Kuekens
PIER,Hafenmauer
PILS,Bierart hell
PILZ,Schwamm im Wald
PING,Kurzer Ton
PINK,Knalliges Rosa
PLAN,Vorhaben
PLOP,Klecks Laut
PLUS,Mathematisches Zeichen
POCH,Klopf Form
POCO,Wenig italienisch
POEM,Kurzes Gedicht
POKE,Stosse englisch
POLO,Reiterspiel
POMP,Prunk
PONY,Kleines Pferd
POOL,Gemeinsame Kasse
PORE,Hautoeffnung
PORT,Anschluss
POSE,Gestellte Haltung
POST,Briefdienst
POTT,Grosser Topf
PRAG,Hauptstadt von Tschechien
PUCK,Hockey Spielstein
PULP,Fruchtfleisch
PUMA,Grosskatze
PUNK,Musikrichtung
PURE,Rein
PUTT,Schlag im Golf
QUAD,Vierraedriges Gelaendefahrzeug
QUAK,Froschlaut
QUAL,Schmerz
QUER,Schraeg
QUIZ,Ratespiel
RAAB,Ungarische Stadt
RABE,Schwarzer schlauer Vogel
RAHM,Sahne
RAIN,Regen englisch
RAND,Grenze
RANG,Stellung
RAPE,Vergewaltigung englisch
RAPS,Oelpflanze
RAST,Pause
RATE,Mutmassung
RAUB,Diebstahl
RAUH,Nicht glatt
RAUM,Ort mit Wand und Decke
RAUS,Heraus
REAL,Wirklich
REBE,Weinstock
RECK,Turngeraet
REDE,Ansprache
REET,Schilfrohr
REFT,Trifft
REGE,Lebendig aktiv
REGT,Bewegt sich
REIF,Ring oder reif
REIN,Sauber
REIS,Getreide aus Asien
REIT,Form von reiten
RENN,Lauf schnell
REST,Ueberrest
RETT,Form von retten
RICH,Reich englisch
RIED,Sumpfgras
RIFF,Felsen unter Wasser
RIND,Hausrind
RING,Kreisrundes Schmuckstueck
RISS,Spalt
RITA,Weiblicher Vorname
RITT,Pferdeausflug
ROBE,Festliches Gewand
ROCK,Langes Kleidungsstueck unten
ROGA,Getreide
ROHM,Maennlicher Vorname
ROHR,Langes Hohlbehaelter
ROMA,Volksgruppe
ROSA,Zart rote Farbe
ROSE,Stachelige Blume
ROSS,Pferd poetisch
ROST,Oxid auf Eisen
RUDI,Maennlicher Vorname
RUFE,Laute Schreie
RUHE,Stille
RUHM,Beruehmtheit
RULE,Regel englisch
RUMP,Kurz fuer Rumpsteak
RUND,Kreisfoermig
SAAL,Grosser Raum
SAAT,Koerner zum Anpflanzen
SACK,Grober Beutel
SAFE,Geldschrank
SAFT,Fluessiges aus Obst
SAGE,Erzaehlung alter Geschichten
SAGT,Spricht aus
SALT,Salz englisch
SALZ,Wuerzmittel weiss
SAMS,Figur Kinderbuch
SAMT,Weicher Stoff
SAND,Feine Steinkoerner
SARG,Totenlade
SATT,Nach dem Essen gefuellt
SATZ,Sinnvoller Ausspruch
SAUM,Textilrand
SAUR,Gegenteil von suess
SCHI,Ski alternativ
SEEN,Gewaesser Mehrzahl
SEHE,Form von sehen
SEHR,In hohem Masse
SEIL,Starkes Tau
SEIN,Ihm gehoerend
SEIT,Von wann an
SEKT,Schaumwein
SEND,Form von senden
SENF,Gelbe scharfe Paste
SICH,Selbst
SIEB,Durchloechertes Geraet
SIEG,Erfolg
SIND,Existieren
SING,Form von singen
SINN,Bedeutung
SITZ,Platz zum Sitzen
SKAT,Deutsches Kartenspiel
SKIP,Sprung englisch
SNOB,Versnobter Mensch
SNOW,Schnee englisch
SOFA,Polstermoebel
SOHN,Maennliches Kind
SOLE,Salzloesung
SOLL,Verpflichtung
SOLO,Alleine
SONG,Lied englisch
SORG,Kuemmere dich
SOUL,Gefuehlvolle Musik
SPAN,Holzrest
SPAR,Lege beiseite
SPAT,Zu spaet
SPEI,Form von speien
SPIN,Drehung englisch
SPOT,Werbung kurz
SPUR,Hinweis
STAB,Langer duenner Stock
STAR,Singvogel oder Beruehmtheit
STAU,Blockade Verkehr
STEG,Kleine Bruecke
STEP,Schritt englisch
STET,Bestaendig
STIL,Art zu handeln
STOP,Halt
STUR,Dickkoepfig
SUCH,Form von suchen
SUED,Unten Himmelsrichtung
SUMM,Brummlaut
SUSS,Nicht salzig
TABU,Verbot gesellschaftlich
TAGE,Mehrere Tage
TAGS,Ueber den Tag
TAIL,Ende englisch
TAKE,Aufnahme
TAKT,Rhythmus
TAND,Wertloser Schmuck
TANK,Grosser Behaelter
TANZ,Bewegung zu Musik
TAUB,Gehoerlos
TAUE,Dicke Seile
TAXI,Mietauto
TEAK,Hartes Tropenholz
TEAM,Gruppe von Menschen
TEIG,Mehlmasse zum Backen
TEIL,Stueck vom Ganzen
TELE,Fern Vorsilbe
TELL,Erzaehlen englisch
TERN,Seeschwalbe
TEST,Pruefung
TEUR,Kostspielig
TEXT,Geschriebenes
THAI,Aus Thailand
TICK,Angewohnheit unfreiwillig
TIEF,Nicht flach
TIER,Lebewesen nicht Mensch
TILT,Kippe englisch
TIME,Zeit englisch
TIPP,Hinweis
TOLL,Super
TONE,Toene
TORE,Eingaenge
TOTS,Kleinkinder englisch
TOUR,Reise
TOWN,Stadt englisch
TRAB,Mittleres Tempo Pferd
TRAM,Strassenbahn
TRAN,Fischoel
TRAP,Falle englisch
TRAT,Ging nach vorn
TRAU,Form von trauen
TREU,Verlaesslich
TRIO,Gruppe von drei
TROG,Futtertrog
TUBA,Tiefes Blasinstrument
TUBE,Zusammendrueckbarer Behaelter
TUCH,Rechteckiger Stoff
TUER,Zugang zum Zimmer
TURM,Hohes schmales Gebaeude
TURN,Form von turnen
TYPE,Drucktyp
UBER,Fahrdienst
UEBE,Form von ueben
UEBT,Trainiert
UFER,Rand am Wasser
UHUS,Eulenarten
UHYU,Uhusohn
ULME,Laubbaum
UMBA,Bucht
UNIT,Einheit englisch
UNKE,Kleine Kroete
URAL,Asiatisches Gebirge
URAN,Radioaktives Metall
URIN,Fluessige Ausscheidung
URNE,Aschenbehaelter
USED,Gebraucht englisch
USER,Benutzer
VASE,Blumengefaess
VATI,Papa
VERB,Taetigkeitswort
VERS,Strophe eines Gedichts
VERY,Sehr englisch
VETO,Einspruch dagegen
VIBE,Stimmung englisch
VIEL,Grosse Menge
VIER,Zahl nach drei
VINO,Wein italienisch
VISA,Einreisegenehmigungen
VITA,Lebenslauf
VOLK,Staatsbewohner
VOLL,Ganz gefuellt
VOLT,Elektrische Einheit
VORN,Am Anfang
WACH,Aufmerksam
WADE,Muskel am Unterschenkel
WAGE,Messgeraet fuer Gewicht
WAGT,Hat Mut
WAHL,Auswahl
WAHR,Stimmt mit Realitaet
WAIS,Kurz fuer Waise
WALD,Viele Baeume
WALT,Form von walten
WAND,Seite eines Raumes
WANG,Seitenpartie Gesicht
WARE,Kaufgegenstand
WARF,Hat geworfen
WARM,Angenehm heiss
WART,Betreuer
WAVE,Welle englisch
WEBE,Form von weben
WEHE,Schmerzhafter Stoss
WEHT,Luft bewegt sich
WEIL,Darum
WEIN,Alkoholisches Traubenprodukt
WEIS,Kluger Rat
WEIT,Grosser Abstand
WELS,Suesswasserfisch grau
WELT,Gesamtheit allen Seins
WENN,Unter der Bedingung
WERF,Imperativ werfen
WERK,Fabrik oder Kunstarbeit
WERT,Bedeutung Preis
WEST,Richtung Sonnenuntergang
WICH,Ist gewichen
WICK,Docht englisch
WIEG,Form von wiegen
WIEN,Hauptstadt von Oesterreich
WILD,Nicht gebaehmt
WILL,Form von wollen
WIND,Bewegte Luftmasse
WINK,Handzeichen
WIRD,Zukuenftige Form
WIRR,Durcheinander
WIRT,Gastgeber
WITZ,Lustiger Spruch
WOGE,Grosse Meereswelle
WOHL,In gutem Zustand
WOHN,Lebe irgendwo
WOLF,Wildhund
WOLL,Form von wollen
WORT,Sinneinheit aus Buchstaben
WRAP,Einpacken englisch
WUND,Verletzung
WURF,Geworfener Gegenstand
WURM,Kriechendes Weichtier
WUST,Ansammlung
YARD,Englische Laengeneinheit
YARN,Garn englisch
YETI,Schneemensch legendaer
YOGA,Entspannung
YORK,Englische Stadt
YOUR,Dein englisch
ZAEH,Langsam aber stur
ZAHE,Wert mit Z
ZAHL,Nummerische Menge
ZAHM,Nicht wild
ZAHN,Knochen im Mund
ZANK,Streit
ZART,Empfindlich weich
ZAUN,Begrenzung
ZEIG,Imperativ zeige
ZEIT,Dauer von Stunden
ZELT,Leichte Unterkunft
ZIEH,Form von ziehen
ZIEL,Bestimmungsort
ZIER,Ornament
ZINK,Metall
ZINN,Silbriges Weichmetall
ZINS,Geldzuwachs
ZOLL,Grenzabgabe
ZOOM,Vergroesserung
ZORN,Starke Wut
ZUCK,Form von zucken
ZUPF,Form von zupfen
ZWEI,Zahl nach eins
ZYST,Hohlraum im Koerper
