ABAD,Superior de un monasterio
HIJA,Descendiente femenina
HIJO,Descendiente masculino
HILO,Fibra larga y delgada
HIPO,Espasmo involuntario
HITO,Evento destacado
HOJA,Parte verde del arbol
HOLA,Saludo comun
HORA,Sesenta minutos
HOYO,Hueco en el suelo
HULE,Tela impermeable
HUMO,Gas que sale del fuego
IBIS,Ave de pico largo
IDEA,Pensamiento
IDEM,Lo mismo en latin
IGLU,Casa de hielo
IMAN,Material que atrae metales
INCA,Pueblo andino antiguo
IOTA,Letra griega
IRIS,Parte coloreada del ojo
ISBA,Casa rusa de madera
ISLA,Tierra rodeada de agua
ITEM,Elemento de una lista
IZAR,Levantar una bandera
JADE,Piedra preciosa verde
JARA,Arbusto mediterraneo
JAZZ,Genero musical afroamericano
JEFE,Persona que manda
JOTA,Danza tradicional espanola
JUEZ,Persona que dicta justicia
JUGO,Liquido de una fruta
KILO,Mil gramos
KIWI,Fruta verde peluda
LACA,Barniz para madera
LADO,Costado de algo
LANA,Pelo de oveja
LATA,Recipiente metalico
LAUD,Instrumento de cuerda antiguo
LAVA,Roca fundida de volcan
LAZO,Cinta atada
LEAL,Que tiene fidelidad
LEER,Comprender lo escrito
LEMA,Frase representativa
LEON,Rey de la selva
LEVA,Alzamiento militar
LIGA,Union o competicion
LIJA,Papel para alisar
LIMA,Capital de Peru
LIMO,Lodo de rio
LIRA,Instrumento de cuerda antiguo
LISO,Sin arrugas ni relieve
LOCA,Que ha perdido el juicio
LOCO,Que ha perdido el juicio
LOMA,Colina baja
LOMO,Parte superior del animal
LONA,Tela resistente
LORO,Ave que imita voces
LOSA,Piedra plana
LOTE,Porcion asignada
LOZA,Vajilla de ceramica
LUJO,Opulencia
LUNA,Satelite de la Tierra
LUPA,Cristal de aumento
MAGO,Persona que hace magia
MALO,Que no es bueno
MAMA,Madre infantilmente
MANO,Extremidad al final del brazo
MAPA,Representacion grafica terrestre
MASA,Mezcla blanda
MATE,Sin brillo
MAYA,Pueblo mesoamericano
MENU,Lista de comidas
MERO,Simple o puro
MESA,Mueble con superficie plana
META,Punto de llegada
MIEL,Alimento dulce de abejas
MIMO,Arte de gesto sin voz
MINA,Excavacion para extraer mineral
MISA,Celebracion religiosa
MITO,Relato fantastico antiguo
MODA,Tendencia del momento
MODO,Manera de hacer algo
MOLE,Mucho volumen
MONO,Primate de cola larga
MORA,Fruto oscuro del mirto
MORO,Perteneciente al islamico
MOTA,Pequena particula
MOTE,Apodo
MUDO,Que no puede hablar
MULA,Animal de carga
MUSA,Inspiracion del arte
NADA,Ninguna cosa
NASA,Red para pescar
NATA,Capa grasa de la leche
NAVE,Barco grande
NENE,Nino pequeno
NEON,Gas noble que ilumina
NIDO,Construccion de las aves
NUBE,Masa de vapor en cielo
NUDO,Cruzamiento de cuerda
NULO,Sin valor
OBRA,Trabajo realizado
ODIO,Sentimiento contrario al amor
OJAL,Agujero para un boton
OLEO,Pintura grasa
OLLA,Recipiente para cocinar
OLMO,Arbol alto de sombra
ONCE,Numero despues de diez
ONDA,Movimiento del agua
ONIX,Piedra semipreciosa negra
ONZA,Unidad de peso antigua
OPAL,Piedra preciosa iridiscente
ORCA,Ballena asesina
OSAR,Atreverse
OVAL,Con forma ovalada
PACA,Fardo grande
PAGA,Salario
PAGO,Accion de pagar
PAIS,Territorio con gobierno
PAJA,Tallo seco del trigo
PALA,Herramienta para cavar
PALO,Trozo de madera largo
PANA,Tela gruesa
PAPA,Sumo pontifice
PARA,Preposicion de finalidad
PARO,Accion de detener
PASE,Permiso para pasar
PASO,Accion de mover los pies
PATA,Pierna de animal
PATE,Comida untable
PATO,Ave de agua
PAVO,Ave americana
PECA,Mancha pequena en la piel
PELO,Filamento capilar
PENA,Sentimiento de dolor
PEON,Pieza de ajedrez mas comun
PERA,Fruta verde alargada
PERO,Conjuncion adversativa
PESO,Unidad de gravedad
PICO,Parte afilada
PIEL,Cubierta exterior del cuerpo
PIPA,Semilla de girasol
PIRA,Hoguera grande
PISA,Ciudad italiana
PISO,Vivienda en un edificio
PITA,Planta con hojas afiladas
PITO,Silbato
PLAN,Proyecto
POLO,Extremo de la Tierra
POMO,Tirador de puerta
POPA,Parte trasera del barco
POTE,Recipiente pequeno
POZO,Hoyo vertical de agua
PROA,Parte delantera del barco
PUMA,Felino americano
PUPA,Herida pequena
PURO,Sin mezcla
RABO,Cola de animal
RAER,Raspar una superficie
RAIZ,Parte subterranea de la planta
RAJA,Hendidura en material
RAMA,Division del tronco
RANA,Anfibio que salta
RAPE,Pez con boca grande
RARO,Poco comun
RASO,Plano y liso
RATA,Roedor grande
RATO,Periodo corto de tiempo
RAYA,Linea recta
RAYO,Descarga electrica del cielo
RAZA,Grupo etnico
REJA,Barrotes de hierro
REMO,Palo para impulsar barca
RENO,Ciervo de regiones frias
RETO,Desafio
RICO,De mucho dinero
RIEL,Barra de metal del tren
RIFA,Sorteo con boletos
RIMA,Coincidencia sonora final
RIZO,Onda del pelo
ROBO,Accion de robar
ROCA,Piedra grande
ROCE,Contacto ligero
ROJO,Color como la sangre
ROMA,Capital de Italia
ROPA,Prenda de vestir
ROSA,Flor espinosa
ROTO,Que se ha partido
RUBI,Piedra preciosa roja
RUDO,Brusco
RUIN,De baja calidad
RULO,Cilindro para rizar el pelo
RUTA,Camino establecido
SACO,Bolsa grande
SAGA,Serie narrativa
SALA,Habitacion principal
SANO,Que tiene salud
SAPO,Anfibio tipo rana
SAYA,Falda larga
SECO,Sin humedad
SEDA,Tela fina y suave
SEDE,Lugar central
SEMI,Prefijo que significa medio
SESO,Organo del pensamiento
SETA,Hongo comestible
SEXO,Distincion biologica
SHOW,Espectaculo
SIDA,Enfermedad del sistema inmune
SILO,Deposito para cereales
SIMA,Abismo profundo
SINO,Destino o conjuncion
SODA,Bebida gaseosa
SOFA,Mueble para sentarse
SOJA,Legumbre
SOLO,Sin compania
SOPA,Alimento liquido caliente
SOSO,Sin sabor
SOTO,Bosque espeso
SUMO,Lucha japonesa tradicional
TACO,Comida mexicana
TAJO,Corte profundo
TAPA,Cubierta
TARA,Defecto
TARO,Planta de tuberculo
TAXI,Vehiculo de alquiler
TAZA,Recipiente para beber
TELA,Tejido
TEMA,Asunto tratado
TERA,Unidad de magnitud billon
TEST,Prueba
TETA,Glandula mamaria
TICO,Gentilicio de Costa Rica
TILA,Infusion relajante
TIMO,Engano
TINO,Buen juicio
TIPO,Clase o modelo
TIRO,Disparo
TITI,Mono pequeno
TIZA,Barra para escribir en pizarra
TODO,Entero
TOFU,Queso de soja
TOGA,Tunica
TOMO,Volumen de libro
TONO,Intensidad de sonido
TOPE,Limite
TOPO,Animal que vive bajo tierra
TORO,Macho del bovino
TRAS,Preposicion detras
TRIO,Grupo de tres
TROL,Figura mitologica escandinava
TUBO,Cilindro hueco
TUNA,Agrupacion estudiantil musical
TUYO,Posesivo masculino
URBE,Ciudad grande
URNA,Caja para votar
UNIR,Juntar partes
USAR,Emplear algo
VACA,Hembra del toro
VADO,Paso de agua
VAGO,Perezoso
VALE,Papel que autoriza
VANO,Sin sustancia
VARA,Palo delgado
VASO,Recipiente para beber
VEGA,Terreno bajo y fertil
VELA,Paquete con mecha
VENA,Conducto de sangre
VERA,Cerca de un lugar
VETO,Prohibicion
VIAL,Relativo al camino
VIDA,Existencia viviente
VIGA,Pieza larga de construccion
VINO,Bebida alcoholica
VISA,Permiso de entrada a pais
VIVO,Que tiene vida
VOTO,Decision electoral
YATE,Barco de recreo grande
YEMA,Parte amarilla del huevo
YESO,Material blanco de construccion
YETI,Criatura mitica del Himalaya
YODO,Elemento quimico
YOGA,Disciplina oriental del cuerpo
YUCA,Planta americana tuberculo
ZAPA,Herramienta para cavar
ZOCO,Mercado arabe
ZONA,Area determinada
ZUMO,Liquido de fruta
