ABACO,Instrumento antiguo para contar
NOVEL,Nuevo en una actividad
NOVIA,Mujer prometida en matrimonio
NOVIO,Hombre prometido en matrimonio
NUBES,Plural de masa de vapor
NUDOS,Plural de atadura
NUEVA,Que acaba de aparecer
NUEVE,Numero despues del ocho
NUEVO,Que acaba de aparecer
NUNCA,En ningun momento
OBESO,Con mucha grasa corporal
OBRAS,Plural de trabajo realizado
OCIOS,Plural de tiempo libre
ODIAR,Sentir odio
OESTE,Punto cardinal del ocaso
OIDOS,Plural de organo auditivo
OIGAS,Forma verbal de oir
OJALA,Expresion de deseo
OLIVA,Fruto del olivo
OLIVO,Arbol del aceite
OLOTE,Corazon de la mazorca
ONDAS,Plural de movimiento del agua
ONZAS,Plural de unidad de peso
OPACO,Que no deja pasar luz
OPERA,Obra musical con canto
OPTAR,Elegir entre opciones
ORUGA,Larva de mariposa
OSADO,Atrevido
OTONO,Estacion de hojas caidas
OTROS,Plural de distinto
OVEJA,Hembra del carnero
OVINO,Relativo a las ovejas
OVULO,Celula reproductora femenina
OXIDO,Compuesto con oxigeno
OZONO,Gas protector del sol
PADRE,Progenitor masculino
PAGAR,Entregar dinero
PALCO,Espacio especial en teatro
PALMA,Planta tropical sin ramas
PALOS,Plural de madera alargada
PAMPA,Llanura argentina
PANAL,Construccion de las abejas
PANDA,Oso blanco y negro
PANES,Plural de alimento basico
PANZA,Vientre abultado
PAPAS,Plural de tuberculo
PARED,Tabique de una habitacion
PARES,Plural de conjunto de dos
PARIR,Dar a luz
PAROS,Plural de detencion
PARTE,Porcion de algo
PASAR,Moverse de un lugar a otro
PASEO,Camino a pie
PASOS,Plural de movimiento al andar
PASTA,Masa de harina con agua
PASTO,Hierba para ganado
PATIO,Espacio interior sin techo
PATOS,Plural de ave acuatica
PAUSA,Interrupcion breve
PAUTA,Norma o guia
PAVOS,Plural de ave americana
PECHO,Parte frontal del torso
PEGAR,Unir con adhesivo
PEINE,Utensilio para el pelo
PELAR,Quitar la piel
PELEA,Combate fisico
PELOS,Plural de filamento capilar
PENAL,Codigo legal criminal
PENAR,Sufrir castigo
PERAL,Arbol de la pera
PERAS,Plural de fruta alargada
PERLA,Gema de moluscos
PERRO,Animal de cuatro patas domestico
PESAR,Determinar peso
PESCA,Accion de atrapar peces
PESOS,Plural de moneda
PESTE,Enfermedad contagiosa grave
PETAL,Parte colorida de la flor
PIANO,Instrumento con teclas
PICAR,Morder un insecto
PICOR,Ganas de rascarse
PIEZA,Parte de un todo
PILAR,Columna de soporte
PILAS,Plural de bateria
PINOS,Plural de conifera
PINTA,Forma verbal de pintar
PINZA,Utensilio para sujetar
PIOJO,Insecto parasito del cabello
PISAR,Poner el pie sobre algo
PISOS,Plural de vivienda
PISTA,Huella o superficie deportiva
PLACA,Lamina plana
PLAGA,Gran cantidad de algo malo
PLANO,Sin relieve
PLATA,Metal blanco precioso
PLATO,Vajilla redonda para comer
PLAYA,Orilla de mar con arena
PLEBE,Gente del pueblo
PLENA,Que esta completa
PLENO,Que esta completo
PLICA,Doblez con sello
PLOMO,Metal pesado gris
PLUMA,Organo para volar del ave
POBRE,Sin recursos economicos
PODER,Capacidad de hacer
PODIO,Tarima para ganadores
POEMA,Composicion poetica
POETA,Persona que escribe poesia
POLIS,Ciudad griega antigua
POLOS,Plural de extremo
POLVO,Sustancia muy fina
PONER,Colocar algo
PORRA,Palo grueso
PORTE,Aspecto fisico
POSAR,Estar en una pose
POSES,Plural de postura
POSTE,Pieza vertical larga
POTRO,Cria del caballo
POZOS,Plural de hoyo vertical
PRADO,Campo de hierba
PRESO,Encarcelado
PRIMA,Ganancia adicional
PRIMO,Hijo de tio
PROLE,Descendencia
PUBIS,Hueso inferior de la pelvis
PUDIN,Postre cremoso
PUEDE,Forma verbal de poder
PUJAS,Plural de ofertas
PULIR,Alisar con friccion
PULPA,Carne blanda
PULPO,Animal marino con ocho patas
PUNTA,Extremo agudo
PUNTO,Senal pequena redonda
PUNOS,Plural de mano cerrada
PURGA,Limpieza
PUROS,Plural de cigarro de tabaco
QUESO,Producto lacteo solido
QUIEN,Pronombre para personas
QUITA,Forma verbal de quitar
RABIA,Enfermedad de animal
RABOS,Plural de cola
RADAR,Detector de objetos
RADIO,Aparato que emite sonido
RAICE,Plural de raiz
RAIDO,Desgastado por el uso
RAJAR,Abrir en dos
RALEA,Calidad baja
RAMAL,Parte que se desprende
RAMAS,Plural de parte del arbol
RAMON,Nombre propio masculino
RANAS,Plural de anfibio saltarin
RANGO,Posicion jerarquica
RAPAR,Cortar el pelo al ras
RAPTO,Secuestro
RASGO,Caracteristica
RATAS,Plural de roedor
RATOS,Plural de periodo breve
RAYAS,Plural de linea recta
RAYON,Fibra artificial
RAYOS,Plural de descarga electrica
RAZAS,Plural de grupo etnico
RAZON,Motivo o causa
RECIO,Fuerte y vigoroso
REDES,Plural de tejido de hilos
REGAR,Echar agua a las plantas
REGIA,De mucha majestad
REGIR,Gobernar
REGLA,Instrumento para medir
REINA,Esposa del rey
REINO,Territorio que rige un rey
REIRA,Forma verbal de reir
REJAS,Plural de barrotes
REJON,Lanza taurina
RELOJ,Aparato para medir tiempo
REMAR,Mover el remo
REMOS,Plural de pala para barco
RENTA,Ingreso periodico
RESES,Plural de vacuno
RETOS,Plural de desafio
RETRO,Del pasado
REUMA,Dolor en articulaciones
REVES,Lado opuesto
REZAR,Orar a Dios
RIADA,Crecida de agua
RIEGO,Accion de regar
RIFAR,Sortear con boletos
RIGOR,Severidad
RINGO,Nombre propio masculino
RITMO,Cadencia de un sonido
RITOS,Plural de ceremonia
RIVAL,Competidor
ROBAR,Quitar algo ajeno
ROBLE,Arbol madera muy dura
ROBOT,Maquina automatica
ROBOS,Plural de accion de robar
ROCAS,Plural de piedra grande
ROCES,Plural de friccion leve
ROCIO,Gotas matutinas
RODAR,Girar sobre si mismo
RODEO,Vuelta larga
ROGAR,Pedir con humildad
ROJAS,Plural de roja
ROJOS,Plural de color de la sangre
ROLES,Plural de papel social
ROMBO,Cuadrilatero oblicuo
ROPAS,Plural de vestimenta
ROSAL,Arbusto de las rosas
ROSAS,Plural de flor del amor
ROSCO,Pan o dulce redondo
RUBIA,De pelo claro amarillo
RUBIO,De pelo claro amarillo
RUBRO,Categoria economica
RUEDA,Circulo que gira
RUEGO,Peticion humilde
RUGBY,Deporte con balon ovalado
RUGIR,Sonar como el leon
RUINA,Destruccion
RULOS,Plural de cilindro de pelo
RUMBA,Baile caribeno
RUMOR,Noticia sin confirmar
RURAL,Del campo
RUTAS,Plural de itinerario
SABER,Tener conocimiento
SABIO,Que tiene sabiduria
SABOR,Sensacion del gusto
SACAR,Extraer algo
SACOS,Plural de bolsa grande
SAGAS,Plural de serie narrativa
SALAS,Plural de habitacion grande
SALIR,Dejar un lugar
SALSA,Liquido condimentado
SALTO,Impulso hacia arriba
SALUD,Estado del cuerpo
SALVA,Forma verbal de salvar
SAMBA,Baile brasileno
SANAR,Recobrar la salud
SANOS,Plural de con salud
SANTA,Mujer sagrada
SANTO,Hombre sagrado
SAPOS,Plural de anfibio gordo
SARNA,Enfermedad de la piel
SATAN,Demonio
SAUCE,Arbol con ramas colgantes
SAXOS,Plural de saxofon
SECAR,Quitar la humedad
SECOS,Plural de sin humedad
SECTA,Grupo religioso minoritario
SEDAL,Hilo de pescar
SELVA,Bosque tropical denso
SELLO,Marca de identificacion
SENDA,Camino estrecho
SENOR,Hombre respetado
SEPAS,Forma verbal de saber
SERIA,Responsable
SERIE,Sucesion ordenada
SERIO,Formal y responsable
SESGO,Inclinacion oblicua
SETAS,Plural de hongo
SEXTA,Numero ordinal
SEXTO,Numero ordinal
SIDRA,Bebida de manzana fermentada
SIGLA,Abreviatura de varias letras
SIGLO,Cien anos
SIGNO,Simbolo
SILBA,Forma verbal de silbar
SILLA,Asiento con respaldo
SIMON,Nombre propio masculino
SIRVE,Forma verbal de servir
SOBRA,Lo que queda
SOBRE,Encima de algo
SOCIO,Miembro de una sociedad
SODAS,Plural de bebida gaseosa
SOFAS,Plural de asiento largo
SOGAS,Plural de cuerda gruesa
SOLAR,Relativo al sol
SOLES,Plural de estrella central
SONAR,Producir sonido
SONDA,Instrumento de exploracion
SOPAS,Plural de alimento liquido
SOPLA,Forma verbal de soplar
SOPOR,Pesadez de sueno
SORDO,Que no oye
SUAVE,De superficie no aspera
SUBIR,Ir hacia arriba
SUCIA,Con manchas
SUCIO,Con manchas
SUDAR,Expulsar agua corporal
SUECO,De Suecia
SUELA,Parte inferior del zapato
SUELO,Superficie de la tierra
SUENA,Forma verbal de sonar
SUENO,Actividad mental al dormir
SUITE,Conjunto de habitaciones
SUMAR,Calcular total
SUMOS,Plural de luchador japones
SUPER,Prefijo de lo mejor
SURCO,Hendidura en el suelo
SUYAS,Posesivo femenino plural
SUYOS,Posesivo masculino plural
TABLA,Madera plana
TABOR,Cuerpo militar marroqui
TACOS,Plural de comida mexicana
TAJOS,Plural de corte profundo
TALCO,Polvo mineral suave
TALLA,Estatura de una persona
TALLE,Cintura del cuerpo
TAMAR,Nombre propio femenino
TANGA,Prenda de bano minima
TANGO,Baile argentino
TAPAS,Plural de cubierta
TAPIA,Muro de tierra
TAPIZ,Tela decorativa de pared
TAPON,Cierre de botella
TARDE,Parte del dia despues del mediodia
TAREA,Trabajo asignado
TAROT,Juego de cartas misticas
TASAR,Poner precio
TATUA,Forma verbal de tatuar
TAXIS,Plural de vehiculo de alquiler
TAZAS,Plural de recipiente para beber
TECLA,Pieza del teclado
TECNO,Genero musical electronico
TEJAR,Lugar donde se hacen tejas
TEJAS,Plural de pieza del tejado
TEJER,Formar un tejido
TELAS,Plural de tejido
TEMAS,Plural de asunto
TEMER,Tener miedo
TENAZ,Persistente
TENER,Poseer algo
TENIS,Deporte con raqueta
TENOR,Voz masculina alta
TENSA,Estirada con fuerza
TENSO,Estirado con fuerza
TENTA,Forma verbal de tentar
TERAS,Plural de unidad billon
TERMO,Recipiente conservador de calor
TESIS,Proposicion a demostrar
TEXTO,Escrito
TEZAS,Plural de cutis
TIARA,Corona papal triple
TIBIA,Hueso de la pierna
TIBIO,Ni frio ni caliente
TIGRE,Felino con rayas
TIMON,Rueda que dirige el barco
TINTA,Liquido para escribir
TINTE,Liquido que colorea
TIPOS,Plural de clase
TIRON,Tiro fuerte y rapido
TIROS,Plural de disparo
TITAN,Persona de gran poder
TIZAS,Plural de barra para pizarra
TIZNA,Forma verbal de tiznar
TOCAR,Hacer contacto
TODOS,Plural de entero
TOLDO,Cubierta de tela
TOMAR,Coger algo
TOMAS,Plural de accion de coger
TOMOS,Plural de volumen
TONEL,Barril grande
TONOS,Plural de intensidad sonora
TOPAR,Encontrar casualmente
TOPOS,Plural de animal subterraneo
TORAX,Parte del pecho del cuerpo
TOREA,Forma verbal de torear
TORNA,Forma verbal de tornar
TORNO,Maquina giratoria
TOROS,Plural de toro
TORPE,Sin agilidad
TORRE,Construccion alta estrecha
TORSO,Tronco del cuerpo
TORTA,Golpe o pastel
TOSCO,Basto y sin pulir
TOSER,Expulsar aire ruidosamente
TOTAL,Suma completa
TRAEN,Forma verbal de traer
TRAGA,Forma verbal de tragar
TRAJE,Vestimenta formal
TRAMO,Seccion de un trayecto
TRAMA,Hilos que se entrelazan
TRAPO,Tela para limpiar
TRATA,Forma verbal de tratar
TRAZO,Linea marcada
TRECE,Numero despues del doce
TRENO,Canto de duelo
TRIBU,Conjunto de familias
TRIGO,Cereal para hacer pan
TRIPA,Intestino o barriga
TRIZA,Pedazo pequeno
TROPA,Grupo militar
TROTE,Paso del caballo
TRUCO,Artimana
TUMBA,Sepultura
TUNEL,Paso subterraneo
TURBA,Multitud desordenada
TURCO,De Turquia
TURNO,Vez en un orden
TUSAR,Cortar el pelo a trasquilones
